id;title;like;vote_average
424;La lista de Schindler;1;8.3
425;Ice Age: La edad de hielo;1;7.1
429;El bueno, el feo y el malo;;8.1
431;Cube;;6.9
433;Mary Poppins;1;7.4
435;El día de mañana;1;6.2
436;María, llena eres de gracia;;6.9
440;Aliens vs. Predator 2;;4.9
451;Leaving Las Vegas;;7.1
453;Una mente maravillosa;1;7.7
454;Romeo + Julieta de William Shakespeare;;6.7
455;Quiero ser como Beckham;0;6.2
462;Erin Brockovich;;7.1
464;Tierra de ángeles;;6.9
468;Mi Idaho privado;;7.1
470;21 gramos;;7.2
473;π, fe en el caos;;7.1
479;Shaft: The Return;;5.5
480;La boda del Monzón;;6.8
489;El indomable Will Hunting;1;7.9
492;Cómo ser John Malkovich;;7.3
496;Borat;1;6.5
497;La milla verde;;8.2
500;Reservoir Dogs;;8.0
503;Poseidón;0;5.5
504;Monster;;7.0
507;Killing Zoe;;6.1
508;Love Actually;1;7.0
509;Notting Hill;1;7.0
510;Alguien voló sobre el nido del cuco;;8.2
512;Scoop;;6.4
522;Ed Wood;;7.3
524;Casino;;7.8
525;Granujas a todo ritmo;;7.5
526;Lady Halcón;;6.8
533;Wallace y Gromit: La maldición de las verduras;1;6.8
534;Terminator Salvation;0;5.9
535;Flashdance;;6.1
539;Psicosis;;8.2
540;D.E.B.S. (Espías en acción);;5.6
542;El Crimen del Padre Amaro;;6.2
544;Algo pasa con Mary;;6.5
546;Transamerica;;6.9
547;El hombre que susurraba a los caballos;;6.7
549;Basquiat;;6.6
550;El club de la lucha;1;
557;Spider-Man;1;6.8
558;Spider-Man 2;0;6.7
559;Spider-Man 3;1;
562;Jungla de cristal;0;7.5
563;Starship Troopers (Las brigadas del espacio);;6.7
568;Apolo 13;;7.3
573;Frenesí;;7.1
576;Grupo salvaje;;7.6
577;Todo por un sueño;;6.7
578;Tiburón;1;7.5
579;Tiburón 2;0;5.9
580;Tiburón, la venganza;0;3.5
581;Bailando con lobos;;7.6
582;La vida de los otros;;7.9
584;2 Fast 2 Furious: A todo gas 2;0;6.2
585;Monstruos, S.A.;1;7.5
586;La cortina de humo;;6.7
587;Big Fish;;7.6
588;Silent Hill;1;6.3
590;Las horas;;7.0
591;El codigo Da Vinci;1;6.5
592;La conversación;;7.5
593;Solaris;;7.7
594;La terminal;;7.0
595;Matar a un ruiseñor;;8.0
597;Titanic;1;7.5
598;Ciudad de Dios;;8.1
601;E.T. el extraterrestre;1;7.3
602;Independence Day;0;6.7
603;Matrix;1;7.9
